company,contact,phone,street,city,state,zip,website,notes,detail_url
Central Valley Ag Cooperative,,785-632-2216,625 W. Court St.,Clay Center,KS,67432,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-632-2216 625 W. Court St. Clay Center KS 67432 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-12
Central Valley Ag Cooperative,,785-455-3315,25.30.1,Clifton,KS,66937,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-455-3315 Box 250 Clifton KS 66937 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-17
Central Valley Ag Cooperative,,785-747-2236,25.30.1,Clifton,KS,66937,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-747-2236 P.O. Box 250 Box 215 Clifton KS 66937 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-34
Central Valley Ag Cooperative,,785-725-3073,517 Grand Ave.,Esbon,KS,66941,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-725-3073 517 Grand Ave. Esbon KS 66941 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-1179
Central Valley Ag Cooperative,,785-527-5013,1220 O St.,Belleville,KS,66935,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-527-5013 1220 O St. Belleville KS 66935 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-1250
Central Valley Ag Cooperative,,755-738-9633,3152 US Hwy. 24,Beloit,KS,67420,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 755-738-9633 3152 US Hwy. 24 Beloit KS 67420 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-1244
Central Valley Ag Cooperative,,785-527-5417,1200 180 Road,Belleville,KS,66935,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-527-5417 1200 180 Road Belleville KS 66935 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-1219
Central Valley Ag Cooperative,,785-335-2006,706 US Hwy 36,Scandia,KS,66866,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-335-2006 706 US Hwy 36 Scandia KS 66866 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-839
Central Valley Ag Cooperative,,785-738-3244,1391 Leann Lane,Beloit,KS,67420,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-738-3244 1391 Leann Lane Beloit KS 67420 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-844
Central Valley Ag Cooperative,,785-778-2164,25.30.1,Clifton,KS,66937,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-778-2164 P.O. Box 250 Clifton KS 66937 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-808
Central Valley Ag Cooperative,,785-348-5511,25.30.1,Linn,KS,66953,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-348-5511 Highway 15 Linn KS 66953 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-640
Central Valley Ag Cooperative,,785-358-2232,25.30.1,Narka,KS,66960,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-358-2232 Box 16 Narka KS 66960 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-703
Central Valley Ag Cooperative,,785-455-3315,25.30.1,Clifton,KS,66937,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-455-3315 P.O. Box 250 Clifton KS 66937 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-705
Central Valley Ag Cooperative,,785-446-3544,25.30.1,Clyde,KS,66938,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-446-3544 Box 128 201 Upton Clyde KS 66938 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-708
Central Valley Ag Cooperative,,785-293-5267,25.30.1,Leonardville,KS,66449,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-293-5267 Box 127 123 S. Erpelding St. Leonardville KS 66449 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-698
Central Valley Ag Cooperative,,785-427-2271,113 E. 1st St.,Miltonvale,KS,67466,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-427-2271 113 E. 1st St. Miltonvale KS 67466 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-700
Central Valley Ag Cooperative,,785-738-3521,317 S. Hersey,Beloit,KS,67420,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-738-3521 317 S. Hersey Beloit KS 67420 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-723
Central Valley Ag Cooperative,,785-781-4813,1420 Railboard Ave.,Cawker City,KS,67430,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-781-4813 1420 Railboard Ave. Cawker City KS 67430 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-726
Central Valley Ag Cooperative,,785-277-3345,25.30.1,Lincoln,KS,67455,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-277-3345 P.O. Box 96 31 Denmark Ave. Lincoln KS 67455 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-727
Central Valley Ag Cooperative,,785-545-3321,25.30.1,Glen Elder,KS,67446,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-545-3321 P.O. Box 48 Glen Elder KS 67446 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-729
Central Valley Ag Cooperative,,785-529-3655,25.30.1,Hunter,KS,67452,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-529-3655 P.O. Box 98 110 S. Gaylord St. Hunter KS 67452 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-731
Central Valley Ag Cooperative,,785-524-4179,518 S. 1st St.,Lincoln,KS,67455,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-524-4179 518 S. 1st St. Lincoln KS 67455 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-732
Central Valley Ag Cooperative,,785-439-6467,2332 Commercial Ave.,Beloit,KS,67420,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-439-6467 2332 Commercial Ave. Beloit KS 67420 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-734
Central Valley Ag Cooperative,,785-738-5065,1853 Howard Lane,Beloit,KS,67420,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-738-5065 1853 Howard Lane Beloit KS 67420 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-736
Central Valley Ag Cooperative,,785-373-4185,25.30.1,Tipton,KS,67485,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-373-4185 P.O. Box 57 108 Washington St. Tipton KS 67485 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-738
Central Valley Ag Cooperative,,785-526-7144,25.30.1,Lincoln,KS,67455,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-526-7144 P.O. Box 96 1397 E. Lark Dr. Lincoln KS 67455 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-740
Central Valley Ag Cooperative,,785-524-4179,25.30.1,Lincoln,KS,67455,http://www.cvacoop.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Central Valley Ag Cooperative 785-524-4179 P.O. Box 96 518 S. 1st St. Lincoln KS 67455 http://www.cvacoop.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Central-Valley-Ag-Cooperative-742
"Charm Sciences, Inc.",,978-687-9200,659 Andover Street,Lawrence,MA,01843,http://www.charm.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Charm Sciences, Inc. 978-687-9200 659 Andover Street Lawrence MA 01843 http://www.charm.com © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Charm-Sciences,-Inc-1395"
CHS Agronomy,,785-821-1330,25.30.1,Tribune,KS,67879,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS Agronomy 785-821-1330 P.O. Box 518 1607 Hwy 27 Tribune KS 67879 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-Agronomy-1815
CHS Hedging,,816-531-0053,"600 Broadway Blvd, Ste 470",Kansas City,MO,64105,http://www.countryhedging.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS Hedging 816-531-0053 600 Broadway Blvd, Ste 470 Kansas City MO 64105 http://www.countryhedging.com © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-Hedging-164
CHS Inc.,,651-355-3247,25.30.1,Lincoln,NE,68501,http://www.chsag.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS Inc. 651-355-3247 P.O. Box 82289 201 North 8th St., Ste 405, Lincoln, 68508 Lincoln NE 68501 http://www.chsag.com © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-Inc-455
CHS United Plains Ag,,620-375-2535,25.30.1,Tribune,KS,67879,http://www.unitedplainsag.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag 620-375-2535 P.O. Box 518 472 W. Road 8 Tribune KS 67879 http://www.unitedplainsag.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag-644
CHS United Plains Ag,,620-376-4282,25.30.1,Tribune,KS,67879,http://www.unitedplainsag.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag 620-376-4282 P.O. Box 518 500 W. Salina Tribune KS 67879 http://www.unitedplainsag.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag-84
CHS United Plains Ag,,620-376-4874,25.30.1,Tribune,KS,67879,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag 620-376-4874 P.O. Box 518 1554 Road 2 Tribune KS 67879 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag-1022
"CHS United Plains Ag,",,620-376-4241,25.30.1,Tribune,KS,67879,,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag, 620-376-4241 P.O. Box 518 1553 Road 14 Tribune KS 67879 © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag,-1021"
"CHS United Plains Ag,",,785-846-7890,25.30.1,McAllaster,KS,67747,,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag, 785-846-7890 McAllaster KS 67747 © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag,-662"
"CHS United Plains Ag,",,785-891-3535,25.30.1,Sharon Springs,KS,67758,http://www.unitedplainsag.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag, 785-891-3535 P.O. Box 280 102 W. Turner Sharon Springs KS 67758 http://www.unitedplainsag.com © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag,-663"
"CHS United Plains Ag,",,785-943-5422,25.30.1,Sharon Springs,KS,67758,http://www.unitedplainsag.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag, 785-943-5422 P.O. Box 280 255 US Hwy. 40 Sharon Springs KS 67758 http://www.unitedplainsag.com © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag,-664"
"CHS United Plains Ag,",,785-852-4241,12/30/2025,Sharon Springs,KS,67758,http://www.unitedplainsag.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CHS United Plains Ag, Patrick Gibbs 785-852-4241 P.O. Box 280 102 N. Front Sharon Springs KS 67758 http://www.unitedplainsag.com Send CHS United Plains Ag, A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CHS-United-Plains-Ag,-620"
Cloud Co. Coop Elev. Assn.,,785-243-2080,12/30/2025,Concordia,KS,66901,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cloud Co. Coop Elev. Assn. Mark Paul 785-243-2080 P.O. Box 345 1401 E. 6th Concordia KS 66901 Send Cloud Co. Coop Elev. Assn. A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cloud-Co-Coop-Elev-Assn-61
Cloud Co. Coop Elev. Assn.,,785-439-6541,25.30.1,Jamestown,KS,66948,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cloud Co. Coop Elev. Assn. 785-439-6541 P.O. Box 345 105 Spruce St. Jamestown KS 66948 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cloud-Co-Coop-Elev-Assn-936
CoBank ACB,,316-290-2000,25.30.1,Wichita,KS,67201,http://www.cobank.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CoBank ACB 316-290-2000 P.O. Box 2940 245 N. Waco Wichita KS 67201 http://www.cobank.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CoBank-ACB-44
CoMark Equity Alliance,,785-475-2234,12/30/2025,Enid,OK,73702,http://www.ceagrain.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back CoMark Equity Alliance Scott Keller 785-475-2234 P.O. Box 947 Enid OK 73702 http://www.ceagrain.com Send CoMark Equity Alliance A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/CoMark-Equity-Alliance-470
Commerce Bank N.A.,,816-234-7393,"1000 Walnut, BB17-3",Kansas City,MO,64106,http://www.commercebank.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Commerce Bank N.A. 816-234-7393 1000 Walnut, BB17-3 Kansas City MO 64106 http://www.commercebank.com © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Commerce-Bank-NA-210
Commerce Brokerage Inc.,,316-838-1403,4161 N. Broadway,Wichita,KS,67219,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Commerce Brokerage Inc. Kevin Severe 316-838-1403 4161 N. Broadway Wichita KS 67219 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Commerce-Brokerage-Inc-62
Concordia Terminal LLC,,785-243-1797,12/30/2025,Concordia,KS,66901,http://www.agmarkllc.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Concordia Terminal LLC Brandon Legg 785-243-1797 P.O. Box 345 1111 West 4th Concordia KS 66901 http://www.agmarkllc.com Send Concordia Terminal LLC A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Concordia-Terminal-LLC-1229
Conestoga Energy Partners LLC,,620-624-2014,1701 Kansas Ave.,Liberal,KS,67905,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Conestoga Energy Partners LLC Ken Pilsl 620-624-2014 1701 Kansas Ave. Liberal KS 67905 Send Conestoga Energy Partners LLC A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Conestoga-Energy-Partners-LLC-1385
Consolidated Grain & Barge,,918-770-9500,"110 W 7th Street, Ste 1700",Tulsa,OK,74011,http://www.cgb.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Consolidated Grain & Barge Shellie Haddad 918-770-9500 110 W 7th Street, Ste 1700 Tulsa OK 74011 http://www.cgb.com Send Consolidated Grain & Barge A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Consolidated-Grain-&-Barge-1198
Continental Agra Equipment Inc.,,316-283-9602,1400 S. Spencer Road,Newton,KS,67114,http://www.continentalagra.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Continental Agra Equipment Inc. 316-283-9602 1400 S. Spencer Road Newton KS 67114 http://www.continentalagra.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Continental-Agra-Equipment-Inc-233
Cooper Grain,,785-460-6771,25.30.1,Colby,KS,67701,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooper Grain 785-460-6771 Box 566 Colby KS 67701 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooper-Grain-628
Cooperative Grain & Supply,,620-483-3645,25.30.1,"Box 204, 113 W. Main 135 N. Main, Hillsboro,",KS,67063,http://www.cgsmc.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooperative Grain & Supply 620-483-3645 Box 204, 113 W. Main 135 N. Main, Hillsboro, KS 67063 Lehigh KS 67073 http://www.cgsmc.com © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooperative-Grain-&-Supply-553
Cooperative Grain & Supply,,620-382-2263,"320 South 3rd St. 135 N. Main, Hillsboro, KS 67063",Marion,KS,66861,http://www.cgsmc.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooperative Grain & Supply 620-382-2263 320 South 3rd St. 135 N. Main, Hillsboro, KS 67063 Marion KS 66861 http://www.cgsmc.com © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooperative-Grain-&-Supply-555
Cooperative Grain & Supply,,620-628-4459,25.30.1,"P.O. Box 97, 209 S. Main 135 N. Main, Hillsboro,",KS,67063,http://www.cgsmc.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooperative Grain & Supply 620-628-4459 P.O. Box 97, 209 S. Main 135 N. Main, Hillsboro, KS 67063 Canton KS 67428 http://www.cgsmc.com © Atlas 2025 25.30.1",https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooperative-Grain-&-Supply-557
Cooperative Grain & Supply,,620-947-3917,135 N. Main,Hillsboro,KS,67063,http://www.cgsmc.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooperative Grain & Supply Jerry Fenske 620-947-3917 135 N. Main Hillsboro KS 67063 http://www.cgsmc.com Send Cooperative Grain & Supply A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooperative-Grain-&-Supply-368
Cooperative Grain & Supply,,620-382-3731,25.30.1,Marion,KS,66861,http://www.cgsmc.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooperative Grain & Supply 620-382-3731 Box 117A Marion KS 66861 http://www.cgsmc.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooperative-Grain-&-Supply-834
Cooperative Grain& Supply,,620-947-3917,1989 Kanza Road,Hillsboro,KS,67063,http://www.cgsmc.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cooperative Grain& Supply 620-947-3917 1989 Kanza Road Hillsboro KS 67063 http://www.cgsmc.com © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cooperative-Grain&-Supply-1702
Cornerstone Ag LLC,,785-462-3354,12/30/2025,Colby,KS,67701,http://www.cornerstone-ag.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Cornerstone Ag LLC Eric Sperber 785-462-3354 Box 468 2148 County Road Q Colby KS 67701 http://www.cornerstone-ag.com Send Cornerstone Ag LLC A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Cornerstone-Ag-LLC-1221
Countryside Feed LLC,,620-947-3111,101 Santa Fe,Hillsboro,KS,67063,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Countryside Feed LLC 620-947-3111 101 Santa Fe Hillsboro KS 67063 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Countryside-Feed-LLC-1225
"Countryside Feed, LLC",,785-336-6777,101 Sante Fe,Hillsboro,KS,67063,http://www.countrysidefeed.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Countryside Feed, LLC Jerry Fenske 785-336-6777 101 Sante Fe Hillsboro KS 67063 http://www.countrysidefeed.com Send Countryside Feed, LLC A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Countryside-Feed,-LLC-1274"
"Custom Agri Systems, Inc. - Western Division",,785-740-2400,105 S. 1st St.,Hiawatha,KS,66434,http://www.casindustries.com,"KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back Custom Agri Systems, Inc. - Western Division 785-740-2400 105 S. 1st St. Hiawatha KS 66434 http://www.casindustries.com © Atlas 2025 25.30.1","https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/Custom-Agri-Systems,-Inc---Western-Division-33"
D.E. Bondurant Grain Co.,,785-798-3322,12/30/2025,Ness City,KS,67560,http://www.bondurantgrain.com,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back D.E. Bondurant Grain Co. Gary Gantz 785-798-3322 P.O. Box 280 223 S. Iowa Ave. Ness City KS 67560 http://www.bondurantgrain.com Send D.E. Bondurant Grain Co. A Message 12/30/2025 Your Name: Required Your Email: Required Subject Line: Required Message: Required SendClear All © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/DE-Bondurant-Grain-Co-46
D.E. Bondurant Grain Co.,,785-798-2763,25.30.1,Ness City,KS,67560,,KGFA Home Page KGFA Events & Training Join KGFA KGFA Sponsors Log In Search All Categories Go Back D.E. Bondurant Grain Co. 785-798-2763 Box 546 801 W. Sycamore Ness City KS 67560 © Atlas 2025 25.30.1,https://web.ksgrainandfeed.org/atlas/directory/category/member-directory/DE-Bondurant-Grain-Co-601
